date,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,us_3y_yield,ukraine_3y_yield,ukraine_3y_change_pct,cpi_x,cpi_y,exchange_rate,interest_rate,gdp_yoy_pct,reserves_pct_gdp
2023-10-31,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0,4.885238095238096,19.71909090909091,0.3968181818181817,,,,,,
2023-11-01,,,,,,,,,0.5051719990377675,13.02638966872544,94.0337597486079,8696.23,,
2023-11-30,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0,4.642380952380952,19.196363636363635,-0.3059090909090909,,,,,,
2023-12-01,,,,,,,,,0.6941120153183341,12.78743690409422,91.289987799071,9546.55,,
2023-12-31,38715818307.8863,1522273000.0,4220455000.0,3188029000.0,14248517000.0,4.194,17.714285714285715,0.4547619047619048,,,,,,
2024-01-01,,,,,,,,,0.4040884240551462,12.78890600924499,89.542318078396,8388.9,8.706304594275016,-0.123407417472165
2024-01-31,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0,4.105238095238095,17.132826086956523,0.0630434782608694,,,,,,
2024-02-01,,,,,,,,,0.3077651515151515,12.6784214945424,89.9979940210877,7990.49,,
2024-02-29,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0,4.33,17.218571428571426,-0.0533333333333333,,,,,,
2024-03-01,,,,,,,,,0.4956337030918102,12.78890600924499,88.6392158254104,9392.77,,
2024-03-31,41838087389.2532,1596438000.0,4391311000.0,3270725000.0,14568783000.0,4.376,17.254761904761907,0.0757142857142857,,,,,,
2024-04-01,,,,,,,,,0.1878816345702208,12.90096652192184,88.0186696960678,8486.03,,
2024-04-30,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0,4.708636363636364,17.874545454545455,-0.0522727272727272,,,,,,
2024-05-01,,,,,,,,,0.6094702297233943,13.01302703459868,86.3074905748203,7805.36,,
2024-05-31,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0,4.658181818181818,25.18913043478261,0.5526086956521742,,,,,,
2024-06-01,,,,,,,,,2.190121155638397,18.5778668002003,86.0271782612814,6371.67,,
2024-06-30,35888898145.8244,1407906000.0,5670701000.0,3282944000.0,14818863000.0,4.504736842105263,32.260000000000005,0.336,,,,,,
2024-07-01,,,,,,,,,0.0,18.58429214607304,84.9803912788238,6344.15,,
2024-07-31,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0,4.294090909090909,31.936304347826084,1.0295652173913044,,,,,,
2024-08-01,,,,,,,,,0.615595075239398,18.46633416458853,84.7569257597326,7603.83,,
2024-08-31,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0,3.792727272727273,31.84113636363636,4.546818181818182,,,,,,
2024-09-01,,,,,,,,,1.495581237253569,18.69706028898854,84.8237336392258,6977.41,,
2024-09-30,36552112949.0099,1411973000.0,5679027000.0,3299542000.0,13799159000.0,3.5055,24.443809523809527,0.4461904761904761,,,,,,
2024-10-01,,,,,,,,,1.808439383791025,18.58528095474888,86.717049601405,3254.97,,
2024-10-31,41484541772.8406,,,,,3.9,24.011739130434783,0.0021739130434782,,,,,,
2024-11-01,,,,,,,,,1.885964912280702,18.70342771982116,89.1900086065949,8624.2,,
2024-11-30,41484541772.8406,,,,,4.214210526315789,23.962857142857143,0.0561904761904761,,,,,,
2024-12-01,,,,,,,,,1.399052948773138,18.93336648433615,90.0864551117632,10999.51,,
2024-12-31,41484541772.8406,,,,,4.216190476190476,23.63,0.0109090909090909,,,,,,
2025-01-01,,,,,,,,,1.20993419656124,19.06358668653751,90.8215534508996,10397.82,9.62443032628726,-0.254502956556406
2025-01-31,,,,,,4.326190476190476,8.501739130434782,-0.1317391304347826,,,,,,
2025-02-01,,,,,,,,,0.7969798657718121,19.29955290611028,91.7678673823844,8869.7,,
2025-02-28,,,,,,4.221052631578948,13.8695,-3.599,,,,,,
2025-03-01,,,,,,,,,1.49812734082397,20.25583705911575,91.1523227234208,8112.13,,
2025-03-31,,,,,,3.9642857142857135,8.054761904761905,0.1457142857142857,,,,,,
2025-04-01,,,,,,,,,0.6970069700697007,20.13647642679901,90.4072546274064,15322.28,,
2025-04-30,,,,,,3.784761904761905,19.48909090909091,0.1740909090909091,,,,,,
2025-05-01,,,,,,,,,1.302931596091205,20.12890431333664,90.0167584958557,10492.93,,
2025-05-31,,,,,,3.898571428571429,25.439545454545453,-0.0154545454545454,,,,,,
2025-06-01,,,,,,,,,0.8038585209003215,2.428209459459459,89.0836197847166,10823.57,,
2025-06-30,,,,,,3.8565,25.769523809523808,0.0942857142857142,,,,,,
2025-07-31,,,,,,3.843181818181818,26.065217391304348,-0.0347826086956521,,,,,,
2025-08-31,,,,,,3.6475,25.436666666666667,-0.5700000000000001,,,,,,
